strategy,scenario,threads,avg_ns,p95_ns,p99_ns,max_ns,avg_retry,conflict,tps,error_rate
optimistic,success,50,23419583,38205197,61383641,85881167,1.72,86,49.4,0.0
optimistic,success,100,12869780,48365379,65281877,147124693,1.36,136,114.4,0.0
optimistic,success,200,3705929,15038604,26392891,31941469,0.56,112,183.0,0.0
optimistic,fail,50,3801668,24771337,28350349,28350349,0.54,27,104.0,80.0
optimistic,fail,100,4523244,23349295,33066887,68223965,0.65,65,105.3,63.0
optimistic,fail,200,1809675,6503219,20827313,51982596,0.54,107,279.3,84.0
optimistic,timeout,50,1261856,5577963,12704816,12704816,0.32,16,43.1,90.0
optimistic,timeout,100,730581,4161712,7512241,7512241,0.23,23,84.0,92.0
optimistic,timeout,200,454700,1362100,3847336,6610869,0.17,34,149.7,90.0
optimistic,success+idempotency,50,504779,886905,5048245,5048245,0.28,7,91.9,0.0
optimistic,success+idempotency,100,471410,2268251,2728358,2728358,0.24,12,256.4,0.0
optimistic,success+idempotency,200,297303,506104,1481273,2613337,0.07,7,400.0,0.0
pessimistic,success,50,21811601,54950740,68146179,68146179,0.0,0,202.4,0.0
pessimistic,success,100,5206383,20803398,30267427,31971274,0.0,0,327.9,0.0
pessimistic,success,200,9025641,37114844,62794508,74417515,0.0,0,522.2,0.0
pessimistic,fail,50,2784552,12149639,14724370,14724370,0.0,0,290.7,82.0
pessimistic,fail,100,2154731,9697906,14149058,18885811,0.0,0,490.2,79.0
pessimistic,fail,200,4855265,18914955,56704571,62683431,0.0,0,451.5,64.5
pessimistic,timeout,50,7782002,39074371,43937143,43937143,0.0,0,46.4,92.0
pessimistic,timeout,100,3740888,13653971,20460540,21224245,0.0,0,91.4,83.0
pessimistic,timeout,200,9917087,32375812,79793441,111424113,0.0,0,156.6,85.5
pessimistic,success+idempotency,50,2632841,8847440,10835748,10835748,0.0,0,74.9,0.0
pessimistic,success+idempotency,100,2244731,8961142,15864757,15864757,0.0,0,357.1,0.0
pessimistic,success+idempotency,200,1541260,5417915,14514549,16295911,0.0,0,483.1,0.0
stateBased,success,50,317396,1021575,2816008,2816008,0.0,0,384.6,0.0
stateBased,success,100,397967,1502682,1873858,2273711,0.0,0,617.3,0.0
stateBased,success,200,361797,1234692,3174971,3970434,0.0,0,649.4,0.0
stateBased,fail,50,544215,2528716,7575077,7575077,0.0,0,255.1,64.0
stateBased,fail,100,476808,2003088,3718294,3718294,0.0,0,526.3,70.0
stateBased,fail,200,556706,1756546,8496112,12409122,0.0,0,729.9,56.0
stateBased,timeout,50,421904,1456917,3127172,3127172,0.0,0,48.4,64.0
stateBased,timeout,100,412105,1326601,2217826,3026301,0.0,0,94.3,65.0
stateBased,timeout,200,425495,1250582,5193636,5825384,0.0,0,178.7,59.0
stateBased,success+idempotency,50,299889,583238,1445703,1445703,0.0,0,215.5,0.0
stateBased,success+idempotency,100,284670,788107,1229530,1229530,0.0,0,344.8,0.0
stateBased,success+idempotency,200,527996,2018304,7489007,8116056,0.0,0,467.3,0.0
